Species	CommonName	Habitat	Protein	Group	p50	deltaH	Reference
Abarenicola affinis	intertidal lugworm	benthic	hemoglobin	invertebrate	0.6	-35.9	Chadwick et al. (1984)
Acanthephyra acutifrons	shrimp non-migrator	pelagic	hemocyanin	invertebrate	1.5	-10	Sanders and Childress (1990b)
Acanthephyra curtirostris	shrimp non-migrator	pelagic	hemocyanin	invertebrate	1.1	-18	Sanders and Childress (1990b)
Acanthephyra smithi	shrimp migrator	pelagic	hemocyanin	invertebrate	1.4	-22.2	Sanders and Childress (1990b)
Acipenser medirostris	green sturgeon	pelagic	hemoglobin	vertebrate	1.44	-61.2	Kaufman et al. (2006)
Alitta virens	sandworm	benthic	hemoglobin	invertebrate	0.27	-61.2	Economides and Wells (1975)
Architeuthis dux	giant squid	pelagic	hemocyanin	invertebrate	9.5	-77.5	Brix et al. (1989b)
Atelecyclus rotundatus	circular crab	benthic	hemocyanin	invertebrate	0.75	-14.5	Taylor et al. (1985)
Busycon canaliculatus	channeled whelk	benthic	hemocyanin	invertebrate	0.5	-46.4	Mangum and Lykkeboe (1979)
Carcinus maenus	european shore crab	benthic	hemocyanin	invertebrate	2.1	-29.5	Weber et al. (2008)
Cephaloscyllium isabellum	draughtsboard shark	benthic	hemoglobin	vertebrate	0.55	-46.9	Tetens and Wells (1984)
Clupea harengus	Atlantic herring	pelagic	hemoglobin	vertebrate	2.4	-48.8	Everaarts (1978)
Dissostichus mawsoni	Antarctic toothfish	pelagic	hemoglobin	vertebrate	1.9	-6.4	Qvist et al. (1977)
Doryteuthis pealeii	longfin inshore squid	pelagic	hemocyanin	invertebrate	2.2	-43.7	Redfield and Ingalls (1933)
Dosidicus gigas	jumbo squid	pelagic	hemocyanin	invertebrate	1.42	-103.1	Seibel (2013)
Enteroctopus dofleini	giant Pacific octopus	benthic	hemocyanin	invertebrate	1.4	-59.8	Lenfant and Johansen (1965)
Euphausia superba	antarctic krill	pelagic	hemocyanin	invertebrate	8.15	-109.3	Bridges et al. (1983)
Eurytium albidigitum	crab	benthic	hemocyanin	invertebrate	0.4	-49.3	Burnett et al. (1988)
Forsterygion malcolmi	mottled triplefin	benthic	hemoglobin	vertebrate	5.8	-17.7	Brix et al. (1999)
Forsterygion varium	variable triplefin	benthic	hemoglobin	vertebrate	7.2	-7.3	Brix et al. (1999)
Glyphocrangon vicaria	deep sea shrimp	benthic	hemocyanin	invertebrate	1.3	-62.8	Arp and Childress (1985)
Gnathphausia ingens	mysid	pelagic	hemocyanin	invertebrate	0.28	-2.3	Sanders and Childress (1990a)
Goneplax rhomboides	angular crab	benthic	hemocyanin	invertebrate	0.55	-63.9	Taylor et al. (1985)
Grahamina capito	spotted triplefin	benthic	hemoglobin	vertebrate	5.4	-15.3	Brix et al. (1999)
Haliotus corrugata	pink abalone	benthic	hemocyanin	invertebrate	1	-48.5	Burnett et al. (1988)
Hyas araneus	great spider crab	benthic	hemocyanin	invertebrate	3.76	30.3	Morris and Bridges (1989)
Hyas coarctatus	arctic lyre crab	benthic	hemocyanin	invertebrate	5.29	-34.9	Morris and Bridges (1989)
Katsuwonus pelamis	skipjack tuna	pelagic	hemoglobin	vertebrate	3.07	1.5	Brill and Bushnell (1991)
Limulus polyphemus	Atlantic horseshoe crab	benthic	hemocyanin	invertebrate	0.9	-30.4	Burnett et al. (1988)
Liocarcinus depurator	sandy swimming crab	benthic	hemocyanin	invertebrate	3.24	-7.2	Taylor et al. (1985)
Loligo vulgaris	European squid	pelagic	hemocyanin	invertebrate	4.1	-60.7	Brix et al. (1989b)
Lopholithodes foraminatus	brown box crab 	benthic	hemocyanin	invertebrate	4.8	-36.2	Burnett et al. (1988)
Megaleledone setebos	Antarctic octopod	benthic	hemocyanin	invertebrate	0.98	-7.4	Zielinski et al. (2001)
Meganyctiphanes norvegica	krill	pelagic	hemocyanin	invertebrate	2.43	132.2	Brix et al. (1989a)
Metacarcinus anthonyi	yellow rock crab	benthic	hemocyanin	invertebrate	3.1	-14.8	Burnett et al. (1988)
Metacarcinus gracilis	graceful rock crab	benthic	hemocyanin	invertebrate	2.9	-39.4	Burnett et al. (1988)
Metacarcinus magister	Dungeness crab	benthic	hemocyanin	invertebrate	1.7	-24.2	Burnett et al. (1988)
Myliobatis californica	bay ray	benthic	hemoglobin	vertebrate	0.8	-24.9	Hopkins and Cech Jr. (1994)
Nautilus pompilius	nautilus	pelagic	hemocyanin	invertebrate	2.25	-41.1	Johansen et al. (1978)
Neotrypaea californiensis	Bay ghost shrimp	benthic	hemocyanin	invertebrate	0.9	-34.2	Miller and Van Holde (1974)
Octopus vulgaris	common octopus	benthic	hemocyanin	invertebrate	2.5	-41.9	Brix et al. (1989b)
Oplophorus gracilirostris	shrimp migrator	pelagic	hemocyanin	invertebrate	1.1	-35.3	Sanders and Childress (1990b)
Pagothenia borchgrevinki 	bald notothen	pelagic	hemoglobin	vertebrate	2.8	-26.6	Tetens et al. (1984)
Palaemon elegans	intertidal prawn	benthic	hemocyanin	invertebrate	1.03	12.9	Morris et al. (1985)
Scomber japonicus	chub mackerel	pelagic	hemoglobin	vertebrate	2.58	18.6	Clark et al. (2010)
Scophthalmus maximus	turbot	benthic	hemoglobin	vertebrate	0.94	15.8	Samuelsen et al. (1999)
Sepia officinalis	common cuttlefish	benthic	hemocyanin	invertebrate	6.5	-14.1	Zielinski et al. (2001)
Stenoplax conspicua	chiton	benthic	hemocyanin	invertebrate	0.6	-47.7	Burnett et al. (1988)
